color_name,hex_code,hue_angle,L,C,H
dark mint,#48C072,141.0,69.7,58.8,149.7
greenish tan,#BCCB7A,71.1,78.9,42.5,114.6
light burgundy,#A8415B,344.9,42.6,45.2,8.8
turquoise blue,#06B1C4,186.0,66.1,36.5,213.8
sandy,#F1DA7A,48.4,87.1,50.0,94.9
mid green,#50A747,114.4,61.5,61.3,137.8
banana,#FFFF7E,60.0,97.7,63.1,105.3
carnation pink,#FF7FA7,341.2,68.9,52.7,1.9
tomato,#EF4026,7.8,54.2,84.5,39.6
sea,#3C9992,175.5,57.9,29.3,188.9
muddy brown,#886806,45.2,45.8,51.5,85.0
turquoise green,#04F489,153.2,85.3,81.2,152.0
fawn,#CFAF7B,37.1,73.1,31.3,81.7
muted blue,#3B719F,207.6,46.0,30.4,263.9
dark mint green,#20C073,151.1,68.9,63.1,153.7
amethyst,#9B5FC0,277.1,50.6,59.0,315.3
blue/green,#0F9B8E,174.4,57.6,36.6,184.4
chestnut,#742802,20.0,27.4,49.5,50.0
sick green,#9DB92C,71.9,70.9,69.1,113.7
rusty orange,#CD5909,24.5,52.0,73.2,54.3
rose red,#BE013C,341.3,40.1,69.7,19.9
deep orange,#DC4D01,20.8,52.4,82.5,49.5
earth,#A2653E,23.4,48.7,38.2,57.2
mossy green,#638B27,84.0,53.2,55.3,122.6
grassy green,#419C03,95.7,57.0,77.0,130.5
pale lime green,#B1FF65,90.4,92.5,80.2,126.6
purple red,#990147,332.4,32.4,57.6,4.8
pale lime,#BEFD73,87.4,92.8,71.8,125.0
greenish teal,#32BF84,154.9,69.2,54.3,159.1
caramel,#AF6F09,36.9,52.4,60.6,72.1
deep magenta,#A0025C,325.8,34.6,60.9,354.8
milk chocolate,#7F4E1E,29.7,37.9,39.3,65.5
ocher,#BF9B0C,47.9,65.4,67.5,88.7
purply pink,#F075E6,304.9,67.2,71.6,329.6
lightblue,#7BC8F6,202.4,77.4,32.1,249.0
golden,#F5BF03,46.6,80.0,81.8,85.7
butter yellow,#FFFD74,59.1,97.1,66.7,104.3
french blue,#436BAD,217.4,45.3,40.1,279.8
greeny yellow,#C6F808,72.5,91.3,96.9,115.1
orangish red,#F43605,12.3,53.9,94.9,43.2
shamrock green,#02C14D,143.6,68.5,79.6,144.5
orangish brown,#B25F03,31.5,49.1,63.7,63.2
tree green,#2A7E19,109.9,46.3,62.3,135.0
deep violet,#490648,300.9,15.6,44.1,328.6
blue/purple,#5A06EF,261.6,35.1,121.3,309.1
cherry,#CF0234,345.4,43.6,77.0,26.0
sandy brown,#C4A661,41.8,69.4,39.6,86.9
dark indigo,#1F0954,257.6,10.0,51.5,308.0
midnight,#03012D,242.7,2.1,28.5,295.8
bluey green,#2BB179,154.9,64.4,52.0,158.8
blood,#770001,359.5,23.4,57.4,37.4
brown red,#922B05,16.2,33.7,60.7,46.4
purpley pink,#C83CB9,306.4,50.7,77.5,331.5
light salmon,#FEA993,12.3,77.0,37.6,40.0
light yellow green,#CCFD7F,83.3,93.7,65.0,122.6
dark navy blue,#00022E,237.4,2.2,28.8,294.0
rouge,#AB1239,344.7,36.7,62.1,19.3
purplish red,#B0054B,335.4,37.6,63.5,9.3
slime green,#99CC04,75.3,76.0,84.8,117.6
pink/purple,#EF1DE7,302.3,57.1,104.2,329.6
dark navy,#000435,235.5,3.1,33.4,296.1
greeny blue,#42B395,164.1,66.2,39.6,171.3
